CF-ID,RAH-Adm0-IsoAbbr,RAH-Adm0-Name,AdminLevel,Date-StartForecastInterval,Date-EndForecastInterval,Duration-ForecastInterval_Months,CF-Indicator-Name,CF-Indicator-Value,CF-Indicator-Type,CF-Indicator-Direction,CF-Indicator-Descr,eCF-AbsErrorAdmin0,eCF-AbsErrorAdmin0_Desc,eCF-RelErrorAdmin0,eCF-RelErrorAdmin0_Desc,eCF-AbsErrorGlobal,eCF-AbsErrorGlobal_Desc,eCF-RelErrorGlobal,eCF-RelErrorGlobal_Desc,eCF-KendallTauRank,eCF-KendallTauRank_Desc,eCF-KendallTauRankpVal,eCF-KendallTauRankpVal_Desc,Source,CreatedOn,CreatedBy
4128,LBN,Lebanon,Admin0,202409,202411,3,ACLED-BASE-3m,2188.5,Number of Events [0-N],higher=more violence,"ACLED naive Base-Model, calculated as a function of the average number of conflict events reported in ACLED over the last 6 months [average recent conflict events per month x number of months in forecasting time-window].",739.5,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.38556927353171366,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",104.73978012679049,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.6871495096607023,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.7906709380175515,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",6.247741624581924e-28,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4133,LBN,Lebanon,Admin0,202409,202508,12,UCDP-BASE-12m,468.0,Number of Fatalities [0-N],higher=more violence,"UCDP naive Base-Model, calculated as a function of the average number of fatalities reported in UCDP over the last 6 months [average recent fatalities per month x number of months in forecasting time-window].",,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",1596.025641025641,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.8458764164286763,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.7159402657329617,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",1.6509073073109158e-10,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4129,LBN,Lebanon,Admin0,202409,202502,6,ACLED-BASE-6m,4377.0,Number of Events [0-N],higher=more violence,"ACLED naive Base-Model, calculated as a function of the average number of conflict events reported in ACLED over the last 6 months [average recent conflict events per month x number of months in forecasting time-window].",2026.5,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.49735435229609326,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",241.77204587581093,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.8172573614278098,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.7712694723642333,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",7.616301200327334e-27,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4130,LBN,Lebanon,Admin0,202409,202508,12,ACLED-BASE-12m,8754.0,Number of Events [0-N],higher=more violence,"ACLED naive Base-Model, calculated as a function of the average number of conflict events reported in ACLED over the last 6 months [average recent conflict events per month x number of months in forecasting time-window].",7779.0,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.9231043075827696,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",691.1265060240963,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.5527265369335602,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.7381632311971053,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",1.692139989584827e-27,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4131,LBN,Lebanon,Admin0,202409,202411,3,UCDP-BASE-3m,117.0,Number of Fatalities [0-N],higher=more violence,"UCDP naive Base-Model, calculated as a function of the average number of fatalities reported in UCDP over the last 6 months [average recent fatalities per month x number of months in forecasting time-window].",44.23333333333333,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.8152855415688786,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",325.83805773238316,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",1.5306122466419896,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.735054361305591,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",5.296438055131913e-10,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4132,LBN,Lebanon,Admin0,202409,202502,6,UCDP-BASE-6m,234.0,Number of Fatalities [0-N],higher=more violence,"UCDP naive Base-Model, calculated as a function of the average number of fatalities reported in UCDP over the last 6 months [average recent fatalities per month x number of months in forecasting time-window].",5.399999999999977,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.027692307692307575,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",682.6539215686274,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",1.3221838306615272,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.7290926944704665,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",2.1123724995941274e-10,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4134,LBN,Lebanon,Admin0,202409,202411,3,ConfInt-BASE-3m,0.016558574076930913,Conflict intensity score [0-1],higher=more violence,"Aggregate ACLED + UCDP base-Model, obtained as the mean [connflict intensity] over the last 6 months, where the conflict intensity per country i and month m is calculated by combining ACLED and UCDP as (ACLED_im/ACLED_Tot_m + UCDP_im/UCDP_Tot_m)/2. Note this is an experimental metric to test aggregation of ACLED and UCDP for obtaining more comprehensive/alternative conflict representations that take into account both leading conflict data providers and may be useful in certain cases - please only use with care.",,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/_https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4135,LBN,Lebanon,Admin0,202409,202502,6,ConfInt-BASE-6m,0.016558574076930913,Conflict intensity score [0-1],higher=more violence,"Aggregate ACLED + UCDP base-Model, obtained as the mean [connflict intensity] over the last 6 months, where the conflict intensity per country i and month m is calculated by combining ACLED and UCDP as (ACLED_im/ACLED_Tot_m + UCDP_im/UCDP_Tot_m)/2. Note this is an experimental metric to test aggregation of ACLED and UCDP for obtaining more comprehensive/alternative conflict representations that take into account both leading conflict data providers and may be useful in certain cases - please only use with care.",,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/_https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4136,LBN,Lebanon,Admin0,202409,202508,12,ConfInt-BASE-12m,0.016558574076930913,Conflict intensity score [0-1],higher=more violence,"Aggregate ACLED + UCDP base-Model, obtained as the mean [connflict intensity] over the last 6 months, where the conflict intensity per country i and month m is calculated by combining ACLED and UCDP as (ACLED_im/ACLED_Tot_m + UCDP_im/UCDP_Tot_m)/2. Note this is an experimental metric to test aggregation of ACLED and UCDP for obtaining more comprehensive/alternative conflict representations that take into account both leading conflict data providers and may be useful in certain cases - please only use with care.",,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://acleddata.com/data-export-tool/_https://ucdp.uu.se/downloads/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
4137,LBN,Lebanon,Admin0,202409,202411,3,CAST-Total_events-3m,2249.0,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted total number of political violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: total_forecast).",495.5,absolute forecast error per country [abs(actual-prediction)] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.,0.2795600044329046,"relative forecast error per country [abs(actual-prediction)/actual, for actual>0] computed from previous conflict and conflict forecast data covering the last year as test-period. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year. ",446.8682795698925,"absolute forecast error global average last year [abs(actual-prediction)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.6879545253733211,"relative forecast error global average last year [abs(actual-prediction)/actual, for actual>0], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",0.4713011858957914,"association of actual vs predicted ranking of top 100 at risk countries [kendall tau statistic; values from 1 (close agreement) to -1 (strong disagreement)], computed from previous conflict and conflict forecast data covering the last year as test-interval. Error estimate per forecasting time-interval computed as the average of all errors obtained for time-intervals of similar length during the test-year.",7.566816297532119e-08,p-value for kendall tau statistic; null-hypothesis: no association between actual and predicted country ranking. P-value per forecasting time-interval computed as the average of all p-values obtained for time-intervals of similar length during the test-year.,https://api.acleddata.com/cast/,20240917,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin0_Forecasts_and_ErrorEstimates
