CF-ID,AdminLevel,Admin1GeoBID,Admin1GeoBType,Admin1GeoBName,Admin1CASTName,RAH-Adm0-IsoAbbr,RAH-Adm0-Name,Date-StartForecastInterval,Date-EndForecastInterval,Duration-ForecastInterval_Months,CF-Indicator-Name,CF-Indicator-Value,CF-Indicator-Type,CF-Indicator-Direction,CF-Indicator-Descr,Source,CreatedOn,CreatedBy
44153,Admin1,68408151B59549752014872,ADM1,Béqaa,Bekaa,LBN,Lebanon,202409,202508,12,AggregMetric-12m,,Risk score [0-1],higher=more violence,"Aggregate conflict forecast metric, calculated for each admin1 i as the mean of normalized CAST, VIEWS, and CF-B values [mean(norm(CAST_totalevents_im), norm(VIEWS_fatalities_im), rank_norm(BSE_im))] per forecast time-interval [Duration-ForecastInterval_Months]. Note the averaging for this aggregate metric is done per forecasting time-interval (3, 6, or 12 months), so we use the most recent data from all forecasting systems and write the resulting aggregate score into one common time-interval [t_start, t_end], but neglect potential differences in date (+/- 1 month) of most recent available data (VIEWS, CAST, BSE).",https://api.acleddata.com/cast/_https://viewsforecasting.org/data/#latest-data_https://conflictforecast.org/downloads,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44154,Admin1,68408151B65529488220063,ADM1,Liban-Nord,North,LBN,Lebanon,202409,202411,3,CAST-Total_events-3m,,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted total number of political violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: total_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44155,Admin1,68408151B65529488220063,ADM1,Liban-Nord,North,LBN,Lebanon,202409,202502,6,CAST-Total_events-6m,,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted total number of political violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: total_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44156,Admin1,68408151B65529488220063,ADM1,Liban-Nord,North,LBN,Lebanon,202409,202411,3,CAST-Battles_events-3m,,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted number of battle events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: battles_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44157,Admin1,68408151B65529488220063,ADM1,Liban-Nord,North,LBN,Lebanon,202409,202502,6,CAST-Battles_events-6m,,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted number of battle events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: battles_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44158,Admin1,68408151B65529488220063,ADM1,Liban-Nord,North,LBN,Lebanon,202409,202411,3,CAST-ERV_events-3m,,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted number of explosions and remote violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: erv_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44189,Admin1,68408151B78911970066467,ADM1,Mont-Liban,Mount Lebanon,LBN,Lebanon,202409,202508,12,AggregMetric-12m,,Risk score [0-1],higher=more violence,"Aggregate conflict forecast metric, calculated for each admin1 i as the mean of normalized CAST, VIEWS, and CF-B values [mean(norm(CAST_totalevents_im), norm(VIEWS_fatalities_im), rank_norm(BSE_im))] per forecast time-interval [Duration-ForecastInterval_Months]. Note the averaging for this aggregate metric is done per forecasting time-interval (3, 6, or 12 months), so we use the most recent data from all forecasting systems and write the resulting aggregate score into one common time-interval [t_start, t_end], but neglect potential differences in date (+/- 1 month) of most recent available data (VIEWS, CAST, BSE).",https://api.acleddata.com/cast/_https://viewsforecasting.org/data/#latest-data_https://conflictforecast.org/downloads,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44064,Admin1,68408151B13555465262434,ADM1,Beyrouth,Beirut,LBN,Lebanon,202409,202411,3,CAST-Total_events-3m,0.0,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted total number of political violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: total_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44065,Admin1,68408151B13555465262434,ADM1,Beyrouth,Beirut,LBN,Lebanon,202409,202502,6,CAST-Total_events-6m,0.0,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted total number of political violence events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: total_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
44066,Admin1,68408151B13555465262434,ADM1,Beyrouth,Beirut,LBN,Lebanon,202409,202411,3,CAST-Battles_events-3m,0.0,Number of Events [0-N],higher=more violence,"ACLED CAST. Forecasted number of battle events in (3 or 6)-month interval, as given in [Date-StartForecastInterval,Date-EndForecastInterval], following ACLED and CAST definitions and codebook (ACLED column: battles_forecast).",https://api.acleddata.com/cast/,2024-09-16,/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictForecastingData/aggregate_Admin1_Forecasts
