ID,Date,Admin1GeoBID,Admin1GeoBType,Admin1GeoBName,Admin1CASTName,CountryName,CountryIso,ACLED_TotalEvents,ACLED_Protests,ACLED_Riots,ACLED_ErV,ACLED_StrDev,ACLED_VaC,ACLED_Battles,ACLED_Fatalities,UCDP_Fatalities,ConflictIntensity,Description,CreatedBy,CreatedOn
2885,202308,8384693B20094101885952,ADM1,Lattakia,Lattakia,Syria,SYR,38.0,1.0,0.0,19.0,1.0,1.0,16.0,33.0,29.0,0.0012814027988534817,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2886,202308,8384693B23566608622518,ADM1,Dar'a,Dara,Syria,SYR,103.0,43.0,4.0,9.0,4.0,30.0,13.0,37.0,15.0,0.0028714638554935435,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2887,202308,8384693B24866558579919,ADM1,Damascus,Damascus,Syria,SYR,6.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,0.00022522522522522523,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2888,202308,8384693B30882548325909,ADM1,Quneitra,Quneitra,Syria,SYR,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,7.849775644678819e-05,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2889,202308,8384693B3351094574159,ADM1,Al-Hasakeh,Al Hasakeh,Syria,SYR,120.0,7.0,3.0,48.0,19.0,24.0,19.0,67.0,16.0,0.0025257941588544687,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2890,202308,8384693B38455082445791,ADM1,Idleb,Idleb,Syria,SYR,206.0,22.0,0.0,131.0,7.0,22.0,24.0,109.0,49.0,0.005561531633423389,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2891,202308,8384693B44556209506703,ADM1,Ar-Raqqa,Ar Raqqa,Syria,SYR,56.0,8.0,0.0,15.0,11.0,10.0,12.0,33.0,10.0,0.0017882615059854265,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2892,202308,8384693B50697642267539,ADM1,Tartous,Tartous,Syria,SYR,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,6.544716777381459e-05,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2893,202308,8384693B56550821124428,ADM1,Deir-ez-Zor,Deir ez Zor,Syria,SYR,251.0,19.0,6.0,17.0,55.0,30.0,124.0,168.0,85.0,0.00907394757804231,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2894,202308,8384693B61807023607014,ADM1,As-Sweida,As Sweida,Syria,SYR,283.0,208.0,56.0,5.0,5.0,4.0,5.0,6.0,0.0,0.005219861295558507,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2895,202308,8384693B67178658489877,ADM1,Aleppo,Aleppo,Syria,SYR,246.0,28.0,0.0,105.0,10.0,63.0,40.0,97.0,29.0,0.005612404760540927,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2896,202308,8384693B76753285616287,ADM1,Hama,Hama,Syria,SYR,66.0,0.0,0.0,56.0,2.0,1.0,7.0,36.0,2.0,0.0013060787496817455,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2897,202308,8384693B89451039606890,ADM1,Rural Damascus,Rural Damascus,Syria,SYR,40.0,4.0,0.0,6.0,13.0,8.0,9.0,43.0,11.0,0.0011901860327720533,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
2898,202308,8384693B93490606690779,ADM1,Homs,Homs,Syria,SYR,22.0,1.0,0.0,2.0,5.0,1.0,13.0,50.0,6.0,0.0007418647782835946,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13229,202312,17685810B10287014873220,ADM1,Mazandaran,Mazandaran,Iran,IRN,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00036889479120554816,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13230,202312,17685810B13889842409055,ADM1,Lorestan,Lorestan,Iran,IRN,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00031915233140778095,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13231,202312,17685810B1629292304739,ADM1,Golestan,Golestan,Iran,IRN,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.00010984182776801405,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13232,202312,17685810B16876171097638,ADM1,Ilam,Ilam,Iran,IRN,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00010330222788471471,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13251,202312,17685810B68217123081047,ADM1,Kerman,Kerman,Iran,IRN,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00043798817431929337,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13252,202312,17685810B7382218659393,ADM1,Kohgiluyeh and Boyer-Ahmad,Kohgiluyeh and Boyer-Ahmad,Iran,IRN,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.773920406435225e-05,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
13253,202312,17685810B76974127550435,ADM1,Mazandaran,Mazandaran,Iran,IRN,,,,,,,,,,,"All columns with ACLED and UCDP data contain the data as obtained from the public APIs, aggregated to country-months. The column [ConflictIntensity] contains an experimental metric to represent conflict intensity by combining the number of violence events in ACLED and the number of fatalities in UCDP - please only use with caution.",/Repos/marcel.meyer@undp.org/Forecasting_Political_Violence/conflictData/getRecentGlobalConflictHistoryAdmin1,2024-09-15
